id,axis,level_id,spelling,translation,example,example_translation
eiken-pre2-affect,eiken,eiken-pre2,affect,影響を与える,"Students learned ""affect"" while reading the article.",生徒たちは記事を読みながら「影響を与える」を学びました。
eiken-pre2-benefit,eiken,eiken-pre2,benefit,利益,"The speaker used ""benefit"" to explain the idea.",話し手は考えを説明するために「利益」を使いました。
eiken-pre2-community,eiken,eiken-pre2,community,地域社会,"This passage includes ""community"" as an important word.",この文章には重要語として「地域社会」が含まれています。
eiken-pre2-consider,eiken,eiken-pre2,consider,よく考える,"The class discussed ""consider"" during the lesson.",その授業では「よく考える」について話し合いました。
eiken-pre2-efficient,eiken,eiken-pre2,efficient,効率的な,"Learners should understand ""efficient"" in context.",学習者は文脈の中で「効率的な」を理解する必要があります。
eiken-pre2-factor,eiken,eiken-pre2,factor,要因,"Students learned ""factor"" while reading the article.",生徒たちは記事を読みながら「要因」を学びました。
eiken-pre2-provide,eiken,eiken-pre2,provide,提供する,"The speaker used ""provide"" to explain the idea.",話し手は考えを説明するために「提供する」を使いました。
eiken-pre2-reduce,eiken,eiken-pre2,reduce,減らす,"This passage includes ""reduce"" as an important word.",この文章には重要語として「減らす」が含まれています。
eiken-pre2-solution,eiken,eiken-pre2,solution,解決策,"The class discussed ""solution"" during the lesson.",その授業では「解決策」について話し合いました。
eiken-pre2-actually,eiken,eiken-pre2,actually,実際に,"Learners should understand ""actually"" in context.",学習者は文脈の中で「実際に」を理解する必要があります。
eiken-pre2-advantage,eiken,eiken-pre2,advantage,利点,"Students learned ""advantage"" while reading the article.",生徒たちは記事を読みながら「利点」を学びました。
eiken-pre2-article,eiken,eiken-pre2,article,記事,"The speaker used ""article"" to explain the idea.",話し手は考えを説明するために「記事」を使いました。
eiken-pre2-behavior,eiken,eiken-pre2,behavior,行動,"This passage includes ""behavior"" as an important word.",この文章には重要語として「行動」が含まれています。
eiken-pre2-communication,eiken,eiken-pre2,communication,意思疎通,"The class discussed ""communication"" during the lesson.",その授業では「意思疎通」について話し合いました。
eiken-pre2-comparison,eiken,eiken-pre2,comparison,比較,"Learners should understand ""comparison"" in context.",学習者は文脈の中で「比較」を理解する必要があります。
eiken-pre2-condition,eiken,eiken-pre2,condition,状態,"Students learned ""condition"" while reading the article.",生徒たちは記事を読みながら「状態」を学びました。
eiken-pre2-confidence,eiken,eiken-pre2,confidence,自信,"The speaker used ""confidence"" to explain the idea.",話し手は考えを説明するために「自信」を使いました。
eiken-pre2-custom,eiken,eiken-pre2,custom,習慣,"This passage includes ""custom"" as an important word.",この文章には重要語として「習慣」が含まれています。
eiken-pre2-development,eiken,eiken-pre2,development,発展,"The class discussed ""development"" during the lesson.",その授業では「発展」について話し合いました。
eiken-pre2-education,eiken,eiken-pre2,education,教育,"Learners should understand ""education"" in context.",学習者は文脈の中で「教育」を理解する必要があります。
eiken-pre2-experience,eiken,eiken-pre2,experience,経験,"Students learned ""experience"" while reading the article.",生徒たちは記事を読みながら「経験」を学びました。
eiken-pre2-generation,eiken,eiken-pre2,generation,世代,"The speaker used ""generation"" to explain the idea.",話し手は考えを説明するために「世代」を使いました。
eiken-pre2-government,eiken,eiken-pre2,government,政府,"This passage includes ""government"" as an important word.",この文章には重要語として「政府」が含まれています。
eiken-pre2-information,eiken,eiken-pre2,information,情報,"The class discussed ""information"" during the lesson.",その授業では「情報」について話し合いました。
eiken-pre2-knowledge,eiken,eiken-pre2,knowledge,知識,"Learners should understand ""knowledge"" in context.",学習者は文脈の中で「知識」を理解する必要があります。
eiken-pre2-population,eiken,eiken-pre2,population,人口,"Students learned ""population"" while reading the article.",生徒たちは記事を読みながら「人口」を学びました。
eiken-pre2-purpose,eiken,eiken-pre2,purpose,目的,"The speaker used ""purpose"" to explain the idea.",話し手は考えを説明するために「目的」を使いました。
eiken-pre2-research,eiken,eiken-pre2,research,研究,"This passage includes ""research"" as an important word.",この文章には重要語として「研究」が含まれています。
eiken-pre2-responsibility,eiken,eiken-pre2,responsibility,責任,"The class discussed ""responsibility"" during the lesson.",その授業では「責任」について話し合いました。
eiken-pre2-society,eiken,eiken-pre2,society,社会,"Learners should understand ""society"" in context.",学習者は文脈の中で「社会」を理解する必要があります。
eiken-pre2-technology,eiken,eiken-pre2,technology,技術,"Students learned ""technology"" while reading the article.",生徒たちは記事を読みながら「技術」を学びました。
eiken-pre2-tradition,eiken,eiken-pre2,tradition,伝統,"The speaker used ""tradition"" to explain the idea.",話し手は考えを説明するために「伝統」を使いました。
eiken-pre2-waste,eiken,eiken-pre2,waste,廃棄物,"This passage includes ""waste"" as an important word.",この文章には重要語として「廃棄物」が含まれています。
eiken-pre2-ability,eiken,eiken-pre2,ability,能力,"The class discussed ""ability"" during the lesson.",その授業では「能力」について話し合いました。
eiken-pre2-challenge,eiken,eiken-pre2,challenge,課題,"Learners should understand ""challenge"" in context.",学習者は文脈の中で「課題」を理解する必要があります。
eiken-pre2-opportunity,eiken,eiken-pre2,opportunity,機会,"Students learned ""opportunity"" while reading the article.",生徒たちは記事を読みながら「機会」を学びました。
eiken-pre2-relationship,eiken,eiken-pre2,relationship,関係,"The speaker used ""relationship"" to explain the idea.",話し手は考えを説明するために「関係」を使いました。
eiken-pre2-skill,eiken,eiken-pre2,skill,技能,"This passage includes ""skill"" as an important word.",この文章には重要語として「技能」が含まれています。
eiken-pre2-support,eiken,eiken-pre2,support,支援,"The class discussed ""support"" during the lesson.",その授業では「支援」について話し合いました。
eiken-pre2-allow,eiken,eiken-pre2,allow,許す,"Learners should understand ""allow"" in context.",学習者は文脈の中で「許す」を理解する必要があります。
