id,axis,level_id,spelling,translation,example,example_translation
eiken-1-alleviate,eiken,eiken-1,alleviate,緩和する,The program aims to alleviate poverty.,そのプログラムは貧困を緩和することを目的としています。
eiken-1-contemplate,eiken,eiken-1,contemplate,熟考する,Leaders must contemplate long-term risks.,指導者は長期的リスクを熟考しなければなりません。
eiken-1-detrimental,eiken,eiken-1,detrimental,有害な,Excessive noise is detrimental to health.,過度の騒音は健康に有害です。
eiken-1-exacerbate,eiken,eiken-1,exacerbate,悪化させる,The drought exacerbated food shortages.,干ばつが食料不足を悪化させました。
eiken-1-foster,eiken,eiken-1,foster,促進する,Schools should foster critical thinking.,学校は批判的思考を促進すべきです。
eiken-1-imperative,eiken,eiken-1,imperative,不可欠な,It is imperative to protect personal data.,個人データを保護することは不可欠です。
eiken-1-meticulous,eiken,eiken-1,meticulous,細心の,The researcher kept meticulous records.,研究者は細心の記録を残しました。
eiken-1-proliferation,eiken,eiken-1,proliferation,急増,The proliferation of misinformation is alarming.,誤情報の急増は憂慮すべきです。
eiken-1-subsidize,eiken,eiken-1,subsidize,補助金を出す,The government may subsidize renewable energy.,政府は再生可能エネルギーに補助金を出すかもしれません。
eiken-1-tenacious,eiken,eiken-1,tenacious,粘り強い,Her tenacious efforts led to success.,彼女の粘り強い努力が成功につながりました。
