id,axis,level_id,spelling,translation,example,example_translation
toeic-850-accommodate,toeic,toeic-850,accommodate,対応する,The hotel can accommodate large groups.,そのホテルは大人数の団体に対応できます。
toeic-850-consecutive,toeic,toeic-850,consecutive,連続した,Sales rose for three consecutive months.,売上は3か月連続で増加しました。
toeic-850-substantial,toeic,toeic-850,substantial,かなりの,The company made a substantial investment.,会社はかなりの投資をしました。
toeic-850-constraint,toeic,toeic-850,constraint,制約,Budget constraints delayed the launch.,予算上の制約が発売を遅らせました。
toeic-850-eligible,toeic,toeic-850,eligible,資格がある,Full-time employees are eligible for benefits.,正社員は福利厚生を受ける資格があります。
toeic-850-procurement,toeic,toeic-850,procurement,調達,Procurement costs must be reduced.,調達コストを削減する必要があります。
toeic-850-reimburse,toeic,toeic-850,reimburse,返金する,The company will reimburse travel costs.,会社は旅費を払い戻します。
toeic-850-turnover,toeic,toeic-850,turnover,離職率,The department has a low turnover rate.,その部署は離職率が低いです。
toeic-850-feasible,toeic,toeic-850,feasible,実行可能な,The plan is feasible within the current budget.,その計画は現在の予算内で実行可能です。
toeic-850-authorize,toeic,toeic-850,authorize,承認する,Only directors can authorize this payment.,この支払いを承認できるのは取締役だけです。
toeic-850-premises,toeic,toeic-850,premises,敷地,Visitors must not smoke on the premises.,来訪者は敷地内で喫煙してはいけません。
toeic-850-discrepancy,toeic,toeic-850,discrepancy,不一致,There is a discrepancy in the sales report.,売上報告書に不一致があります。
