id,axis,level_id,spelling,translation,example,example_translation
toeic-990-streamline,toeic,toeic-990,streamline,効率化する,"The team reviewed ""streamline"" before making a decision.",チームは決定前に「効率化する」を確認しました。
toeic-990-contingency,toeic,toeic-990,contingency,不測の事態,"The manager used ""contingency"" in the monthly report.",マネージャーは月次報告で「不測の事態」を使いました。
toeic-990-consolidate,toeic,toeic-990,consolidate,統合する,"Employees should understand ""consolidate"" in business documents.",従業員は業務文書で「統合する」を理解する必要があります。
toeic-990-provisional,toeic,toeic-990,provisional,暫定的な,"The notice mentioned ""provisional"" for all staff members.",その通知は全スタッフ向けに「暫定的な」に触れていました。
toeic-990-scrutinize,toeic,toeic-990,scrutinize,詳細に調べる,"The client asked about ""scrutinize"" after the meeting.",顧客は会議後に「詳細に調べる」について尋ねました。
toeic-990-mitigate,toeic,toeic-990,mitigate,軽減する,"The team reviewed ""mitigate"" before making a decision.",チームは決定前に「軽減する」を確認しました。
toeic-990-lucrative,toeic,toeic-990,lucrative,利益の大きい,"The manager used ""lucrative"" in the monthly report.",マネージャーは月次報告で「利益の大きい」を使いました。
toeic-990-convene,toeic,toeic-990,convene,招集する,"Employees should understand ""convene"" in business documents.",従業員は業務文書で「招集する」を理解する必要があります。
toeic-990-inadvertently,toeic,toeic-990,inadvertently,うっかり,"The notice mentioned ""inadvertently"" for all staff members.",その通知は全スタッフ向けに「うっかり」に触れていました。
toeic-990-revamp,toeic,toeic-990,revamp,刷新する,"The client asked about ""revamp"" after the meeting.",顧客は会議後に「刷新する」について尋ねました。
toeic-990-stringent,toeic,toeic-990,stringent,厳格な,"The team reviewed ""stringent"" before making a decision.",チームは決定前に「厳格な」を確認しました。
toeic-990-ratify,toeic,toeic-990,ratify,正式承認する,"The manager used ""ratify"" in the monthly report.",マネージャーは月次報告で「正式承認する」を使いました。
toeic-990-abide,toeic,toeic-990,abide,従う,"Employees should understand ""abide"" in business documents.",従業員は業務文書で「従う」を理解する必要があります。
toeic-990-accolade,toeic,toeic-990,accolade,称賛,"The notice mentioned ""accolade"" for all staff members.",その通知は全スタッフ向けに「称賛」に触れていました。
toeic-990-aggregate,toeic,toeic-990,aggregate,総計,"The client asked about ""aggregate"" after the meeting.",顧客は会議後に「総計」について尋ねました。
toeic-990-anomaly,toeic,toeic-990,anomaly,異常,"The team reviewed ""anomaly"" before making a decision.",チームは決定前に「異常」を確認しました。
toeic-990-appraisal,toeic,toeic-990,appraisal,評価,"The manager used ""appraisal"" in the monthly report.",マネージャーは月次報告で「評価」を使いました。
toeic-990-benchmark,toeic,toeic-990,benchmark,基準,"Employees should understand ""benchmark"" in business documents.",従業員は業務文書で「基準」を理解する必要があります。
toeic-990-bottleneck,toeic,toeic-990,bottleneck,障害,"The notice mentioned ""bottleneck"" for all staff members.",その通知は全スタッフ向けに「障害」に触れていました。
toeic-990-catalyst,toeic,toeic-990,catalyst,きっかけ,"The client asked about ""catalyst"" after the meeting.",顧客は会議後に「きっかけ」について尋ねました。
toeic-990-concession,toeic,toeic-990,concession,譲歩,"The team reviewed ""concession"" before making a decision.",チームは決定前に「譲歩」を確認しました。
toeic-990-consensus,toeic,toeic-990,consensus,合意,"The manager used ""consensus"" in the monthly report.",マネージャーは月次報告で「合意」を使いました。
toeic-990-deterioration,toeic,toeic-990,deterioration,悪化,"Employees should understand ""deterioration"" in business documents.",従業員は業務文書で「悪化」を理解する必要があります。
toeic-990-divest,toeic,toeic-990,divest,売却する,"The notice mentioned ""divest"" for all staff members.",その通知は全スタッフ向けに「売却する」に触れていました。
toeic-990-embargo,toeic,toeic-990,embargo,禁輸,"The client asked about ""embargo"" after the meeting.",顧客は会議後に「禁輸」について尋ねました。
