id,axis,level_id,spelling,translation,example,example_translation
toeic-990-streamline,toeic,toeic-990,streamline,効率化する,The team will streamline the details this week.,チームは今週、詳細を効率化する予定です。
toeic-990-contingency,toeic,toeic-990,contingency,不測の事態,The manager reviewed the contingency before the meeting.,マネージャーは会議の前に不測の事態を確認しました。
toeic-990-consolidate,toeic,toeic-990,consolidate,統合する,The team will consolidate the details this week.,チームは今週、詳細を統合する予定です。
toeic-990-provisional,toeic,toeic-990,provisional,暫定的な,The new process is provisional for daily work.,新しい手順は日々の業務に暫定的なです。
toeic-990-scrutinize,toeic,toeic-990,scrutinize,詳細に調べる,The team will scrutinize the details this week.,チームは今週、詳細を詳細に調べる予定です。
toeic-990-mitigate,toeic,toeic-990,mitigate,軽減する,The team will mitigate the details this week.,チームは今週、詳細を軽減する予定です。
toeic-990-lucrative,toeic,toeic-990,lucrative,利益の大きい,The new process is lucrative for daily work.,新しい手順は日々の業務に利益の大きいです。
toeic-990-convene,toeic,toeic-990,convene,招集する,Employees need to convene when the situation changes.,状況が変わったとき、従業員は招集する必要があります。
toeic-990-inadvertently,toeic,toeic-990,inadvertently,うっかり,The staff responded inadvertently to the request.,スタッフはその依頼にうっかり対応しました。
toeic-990-revamp,toeic,toeic-990,revamp,刷新する,The team will revamp the details this week.,チームは今週、詳細を刷新する予定です。
toeic-990-stringent,toeic,toeic-990,stringent,厳格な,The new process is stringent for daily work.,新しい手順は日々の業務に厳格なです。
toeic-990-ratify,toeic,toeic-990,ratify,正式承認する,The team will ratify the details this week.,チームは今週、詳細を正式承認する予定です。
toeic-990-abide,toeic,toeic-990,abide,従う,Employees need to abide when the situation changes.,状況が変わったとき、従業員は従う必要があります。
toeic-990-accolade,toeic,toeic-990,accolade,称賛,The manager reviewed the accolade before the meeting.,マネージャーは会議の前に称賛を確認しました。
toeic-990-aggregate,toeic,toeic-990,aggregate,総計,The manager reviewed the aggregate before the meeting.,マネージャーは会議の前に総計を確認しました。
toeic-990-anomaly,toeic,toeic-990,anomaly,異常,The manager reviewed the anomaly before the meeting.,マネージャーは会議の前に異常を確認しました。
toeic-990-appraisal,toeic,toeic-990,appraisal,評価,The manager reviewed the appraisal before the meeting.,マネージャーは会議の前に評価を確認しました。
toeic-990-benchmark,toeic,toeic-990,benchmark,基準,The manager reviewed the benchmark before the meeting.,マネージャーは会議の前に基準を確認しました。
toeic-990-bottleneck,toeic,toeic-990,bottleneck,障害,The manager reviewed the bottleneck before the meeting.,マネージャーは会議の前に障害を確認しました。
toeic-990-catalyst,toeic,toeic-990,catalyst,きっかけ,The manager reviewed the catalyst before the meeting.,マネージャーは会議の前にきっかけを確認しました。
